ID,Name,Hp,Attack,Speed,Sprite,Skill
1,Bloom,15,2,1.2,Bloom,null
2,Baerat,20,2,1.3,Baerat,null
3,BreadDog,25,2,1.3,BreadDog,null
4,Deadbeat,30,3,1.3,Deadbeat,null
5,DeadbeatBatter,35,3,1.3,DeadbeatBatter,null
6,Gloom,40,3,1.3,Gloom,null
7,HoomanB,45,3,1.3,HoomanB,null
8,InvestiGator,50,3,1.3,InvestiGator,null
9,KFP,55,3,1.3,KFP,null
10,KFPAngry,60,3,1.3,KFPAngry,null
11,KromieA,65,4,1.3,KromieA,null
12,KromieB,70,4,1.3,KromieB,null
13,KromieKing,75,4,1.3,KromieKing,null
14,SaplingA,80,4,1.3,SaplingA,null
15,SaplingB,85,5,1.3,SaplingB,null
16,SaplingC,90,5,1.3,SaplingC,null
17,SaplingKing,95,5,1.3,SaplingKing,null
18,Shrimp,100,5,1.3,Shrimp,null
19,ShrimpDark,105,6,1.3,ShrimpDark,null
20,ShrimpGangA,110,6,1.3,ShrimpGangA,null
21,Takodachi,115,6,1.3,Takodachi,null
22,TakodachiAngry,120,7,1.3,TakodachiAngry,null
1001,Fubuzilla,500,20,1.3,Fubuzilla,Ani_FubuLaser_0
1002,SmollAme,600,23,1.3,SmollAme,Ani_SmollAme_jump_0
