ID,Name,Level,Attack,Quantity,Speed,AttackRange,Duration,AttackCycle,Size,Knockback,MaxLevel,WeaponType,Explanation,Animation
1001,Spider Cooking,1,4,1,0,5,3,6,0.03,1,6,1,"""Create an area of miasma around, dealing slow damage to enemies inside.""",spr_SpiderCooking_0
1001,Spider Cooking,2,4,1,0,5,3,6,0.03,1,6,1,Increase area by <color=green>15%</color>.,spr_SpiderCooking_0
1001,Spider Cooking,3,5,1,0,5,3,6,0.035,1,6,1,Increase damage by <color=green>30%</color>.,spr_SpiderCooking_0
1001,Spider Cooking,4,5,1,0,5,3,6,0.035,1,6,1,Increase area by <color=green>25%</color>.,spr_SpiderCooking_0
1001,Spider Cooking,5,7,1,0,5,3,6,0.04,1,6,1,Increase frequency of hits by <color=green>20%</color>.,spr_SpiderCooking_0
1001,Spider Cooking,6,7,1,0,5,3,6,0.04,0,6,1,Increase damage by <color=green>60%</color>.,spr_SpiderCooking_0
1002,Elite Lava Bucket,1,4,1,3,15,3,1,3,1,6,3,"""Throw lava on the ground that continues to damage the enemy.""",EliteLavaBucket
1002,Elite Lava Bucket,2,4,2,3,15,3,1,3.4,1,6,3,Lava range is up by<color=green>20%</color>.,EliteLavaBucket
1002,Elite Lava Bucket,3,5,2,4,15,3,1,3.4,1,6,3,The number of lava buckets thrown becomes two.,EliteLavaBucket
1002,Elite Lava Bucket,4,7,2,4,15,3,1,3.4,1,6,3,"30% increase in damage, 1 second increase in lava duration.",EliteLavaBucket
1002,Elite Lava Bucket,5,7,3,4,15,3,1,3.4,1,6,3,The number of lava buckets thrown becomes three.,EliteLavaBucket
1002,Elite Lava Bucket,6,7,4,4,15,3,1,4,1,6,3,"The number of lava buckets thrown becomes 4, and the range of lava rises by <color=green>20%</color>.",EliteLavaBucket
1003,CEO's Tears,1,15,1,1,1,3,1,6,1,6,3,Speaks out tears shot in the direction of random enemies.,spr_WeaponCEO_0
1003,CEO's Tears,2,18,1,1,1,3,1,6,1,6,3,a <color=green>20%</color> increase in damage.,spr_WeaponCEO_0
1003,CEO's Tears,3,18,2,1,1,3,1,6,1,6,3,Shoot two drops of tears.,spr_WeaponCEO_0
